net,length_um
_0331_,17.82µm
_2545_,17.8µm
_1107_,17.74µm
_2989_,17.74µm
_0920_,17.7µm
_2580_,17.7µm
_0786_,17.68µm
_1606_,17.68µm
_0957_,17.66µm
core.u_regfile.registers\[1\]\[31\],17.64µm
_0262_,17.635µm
_0214_,17.62µm
_1380_,17.62µm
_0932_,17.6µm
net1,17.52µm
_0646_,17.5µm
_0974_,17.5µm
_1607_,17.48µm
_1830_,17.48µm
_0380_,17.44µm
_0717_,17.44µm
_0747_,17.44µm
_0889_,17.44µm
_1538_,17.44µm
_0678_,17.4µm
_1000_,17.36µm
_2396_,17.36µm
_2713_,17.35µm
_0943_,17.34µm
_0864_,17.32µm
_1924_,17.32µm
core.inst_addr_out\[23\],17.32µm
_1537_,17.28µm
_1550_,17.26µm
_1206_,17.24µm
_2337_,17.22µm
_2596_,17.22µm
_1166_,17.18µm
_1829_,17.18µm
_2613_,17.18µm
_0685_,17.16µm
_1500_,17.16µm
_0827_,17.14µm
_1360_,17.12µm
_3059_,17.11µm
_2129_,17.1µm
_1811_,17.04µm
_1281_,17.02µm
_0668_,17µm
_2141_,16.985µm
_2394_,16.98µm
core.dsp_result_in\[23\],16.98µm
_2180_,16.97µm
_2610_,16.94µm
_0806_,16.92µm
_2039_,16.9µm
_2449_,16.9µm
_2848_,16.88µm
_0453_,16.82µm
_1201_,16.8µm
_0384_,16.78µm
_2782_,16.72µm
_0982_,16.7µm
_2290_,16.7µm
_0522_,16.585µm
_2330_,16.56µm
_0442_,16.54µm
_1486_,16.485µm
_1151_,16.48µm
_1143_,16.44µm
_2661_,16.44µm
_2875_,16.44µm
_1758_,16.4µm
_3008_,16.34µm
_0235_,16.24µm
_0992_,16.22µm
_2328_,16.22µm
monitor_out[5],16.2µm
dsp.u_mac.acc_reg\[21\],16.18µm
_1161_,16.14µm
_0283_,16.12µm
_1806_,16.12µm
_1766_,16.1µm
_2831_,16.1µm
_1266_,16.08µm
_1969_,16.08µm
_0265_,16.06µm
_0298_,16.06µm
_0896_,16.02µm
_1254_,16.02µm
_1255_,16.02µm
_1417_,16.02µm
_3050_,16.02µm
_0955_,15.98µm
_1930_,15.98µm
_2080_,15.98µm
_2192_,15.98µm
_1217_,15.94µm
_1033_,15.92µm
net326,15.92µm
_2711_,15.885µm
_2877_,15.88µm
_0824_,15.86µm
_0835_,15.84µm
_2237_,15.8µm
_2531_,15.8µm
_2871_,15.78µm
_1849_,15.76µm
_1964_,15.74µm
_0863_,15.72µm
_1182_,15.72µm
_2272_,15.72µm
_2652_,15.72µm
_2738_,15.72µm
_1867_,15.7µm
_2854_,15.7µm
_1234_,15.68µm
_2529_,15.68µm
_2592_,15.68µm
_0438_,15.66µm
_1387_,15.64µm
_1716_,15.64µm
_0410_,15.62µm
_1441_,15.62µm
_1270_,15.575µm
_0147_,15.56µm
_0349_,15.56µm
_2146_,15.56µm
_2056_,15.54µm
_2435_,15.52µm
_0788_,15.48µm
_1472_,15.48µm
monitor_out[29],15.48µm
_2011_,15.46µm
_2534_,15.44µm
_2750_,15.42µm
_3009_,15.415µm
_2172_,15.41µm
_0537_,15.38µm
_0667_,15.38µm
_1328_,15.38µm
_0462_,15.36µm
_1228_,15.35µm
_1765_,15.34µm
_0556_,15.32µm
_2804_,15.32µm
_0890_,15.3µm
core.inst_addr_out\[10\],15.3µm
_1901_,15.28µm
_0198_,15.26µm
_0221_,15.26µm
_1321_,15.26µm
_1676_,15.26µm
_0975_,15.24µm
_1610_,15.24µm
_0842_,15.22µm
_1059_,15.22µm
_1933_,15.22µm
core.inst_addr_out\[14\],15.22µm
_0838_,15.18µm
_1365_,15.18µm
_0217_,15.14µm
_0977_,15.14µm
_2417_,15.14µm
_0432_,15.12µm
_0098_,15.1µm
_1276_,15.1µm
_1055_,15.04µm
_1188_,15.02µm
dsp.u_mac.acc_reg\[13\],15.02µm
_1931_,15µm
_2070_,14.98µm
_0306_,14.97µm
_0627_,14.96µm
_1976_,14.96µm
_1717_,14.94µm
dsp.u_mac.acc_reg\[20\],14.94µm
_2384_,14.925µm
_1454_,14.9µm
_1260_,14.88µm
_1859_,14.88µm
_0374_,14.86µm
_2757_,14.84µm
_2737_,14.83µm
dsp.u_mac.acc_reg\[28\],14.82µm
